code,libelle,nb_total_de_sejours_seances,nb_de_sejourshors_ghm_en_j_ou_t_et_seances,dms_en_nuitee_hors_ghm_en_j_ou_tet_seances,nb_de_sejours_ghm_en_j_ou_t_hors_seances,nb_de_nuiteesen_ghm_j_ou_t,nb_de_seances
10000000,Certaines maladies infectieuses et parasitaires,209720,138288,839,71432,41225,0
20000000,Tumeurs,776776,541993,651,234783,21862,0
30000000,Maladies du sang et des organes hématopoïétiques et certains troubles du système immunitaire,172529,106090,787,66439,32413,0
40000000,"Maladies endocriniennes, nutritionnelles et métaboliques",289204,193052,707,96152,23358,0
50000000,Troubles mentaux et du comportement,368893,183630,685,185263,52489,0
60000000,Maladies du système nerveux,312013,145497,810,166516,39444,0
70000000,Maladies de l'oeil et des annexes,405248,45470,305,359778,212,0
80000000,Maladies de l'oreille et de l'apophyse mastoïde,80698,24491,390,56207,13433,0
90000000,Maladies de l'appareil circulatoire,1169939,801256,812,368683,135420,0
100000000,Maladies de l'appareil respiratoire,753899,522698,776,231201,105470,0
110000000,Maladies de l'appareil digestif,1129188,593985,567,535203,78631,0
120000000,Maladies de la peau et du tissu cellulaire sous-cutané,165002,78098,785,86904,6034,0
130000000,"Maladies du système ostéo-articulaire, des muscles et du tissu conjonctif",540197,342492,692,197705,19376,0
140000000,Maladies de l'appareil génito-urinaire,639735,408642,523,231093,31637,0
150000000,"Grossesse, accouchement et puerpéralité",876709,767580,368,109129,16866,0
160000000,Certaines affections dont l'origine se situe dans la période périnatale,115176,114690,1061,486,69,0
170000000,Malformation congénitales et anomalies chromosomiques,68310,35183,592,33127,2591,0
180000000,"Symptômes, signes et réultats anormaux d'examens cliniques et de laboratoire, non classés ailleurs",1077841,348989,504,728852,206628,0
190000000,"Lésions traumatiques, empoisonnements et certaines autres conséquences de causes externes",959696,663318,611,296378,101293,0
210000000,Facteurs influant sur l'état de santé et motifs de recours aux services de santé,10745204,1747366,271,1126798,134034,7871040
220000000,Codes d'utilisations particulière,58267,46081,991,12186,8479,0
,Total,20914244,7848889,,5194315,,7871040
10100000,Maladies intestinales infectieuses,93868,48688,585,45180,28879,0
10200000,Tuberculoses,5349,4930,1748,419,12,0
10300000,Certaines anthropozoonoses bactériennes,1512,1193,838,319,73,0
10400000,Autres maladies bactériennes,57037,47293,1133,9744,6457,0
10500000,Infections dont le mode de transmission est essentiellement sexuel,4969,1356,488,3613,113,0
10600000,Autres maladies à spirochètes,560,398,623,162,,0
10700000,Autres maladies à Chlamydia,26,23,457,,0,0
10800000,Rickettsioses,201,184,666,17,,0
10900000,Infections virales du système nerveux central,5129,3665,680,1464,1153,0
11000000,Fièvres virales transmises par les arthropodes et fièvres virales hémorragiques,2089,1559,441,530,308,0
11100000,Infections virales caractérisées par des lésions cutanéo-muqueuses,9313,7791,579,1522,503,0
11200000,Hépatite virale,3438,2864,496,574,0,0
11300000,Maladies dues au virus de l'immunodéficience humaine [VIH],2093,965,1807,1128,47,0
11400000,Autres maladies virales,8052,5298,438,2754,1761,0
11500000,Mycoses,4937,3796,1225,1141,123,0
11600000,Maladies dues à des protozoaires,3898,2742,578,1156,821,0
11700000,Helminthiases,528,344,800,184,44,0
11800000,"Pédiculoses, acariase et autre infestations",569,382,768,187,112,0
12100000,"Maladies infectieuses, autres et non précisées",6152,4817,689,1335,812,0
,Total,209720,138288,,71432,,0
20100000,Tumeurs malignes,492549,337039,908,155510,16856,0
20200000,Tumeurs in situ,20492,8983,261,11509,135,0
20300000,Tumeurs bénignes,218246,165080,155,53166,2689,0
20400000,Tumeurs à évolution imprévisibles ou inconnue,45489,30891,607,14598,2182,0
,Total,776776,541993,,234783,,0
30100000,Anémies nutritionnelles,60255,32212,766,28043,13233,0
30200000,Anémies hémolytiques,24291,17078,701,7213,4224,0
30300000,Anémies médullaires et autres anémies,55508,34018,913,21490,13242,0
30400000,"Anomalies de la coagulation, purpura et autre affections hémorragiques",17573,12654,658,4919,1538,0
30500000,Autres maladies du sang et des organes hématopoïétiques,8963,6344,785,2619,176,0
30600000,Autres anomalies du système immunitaire,5939,3784,651,2155,0,0
